id,data,consumo,potencia,tempo_ligado
1,2023-01-01,13.55,3839.25,2 horas 14 minutos
1,2023-01-02,12.09,3891.95,4 horas 43 minutos
1,2023-01-03,10.3,3858.86,4 horas 18 minutos
1,2023-01-04,14.27,2571.17,2 horas 42 minutos
1,2023-01-05,5.3,3347.06,3 horas 51 minutos
1,2023-01-06,11.78,3426.47,1 horas 5 minutos
1,2023-01-07,10.52,3870.71,3 horas 55 minutos
1,2023-01-08,5.55,3250.67,1 horas 15 minutos
1,2023-01-09,12.06,2603.74,1 horas 31 minutos
1,2023-01-10,5.31,2282.76,1 horas 6 minutos
1,2023-01-11,14.52,2182.52,2 horas 11 minutos
1,2023-01-12,7.38,2374.62,1 horas 8 minutos
1,2023-01-13,14.43,2391.75,3 horas 15 minutos
1,2023-01-14,9.94,3334.35,2 horas 43 minutos
1,2023-01-15,14.45,3066.92,1 horas 28 minutos
1,2023-01-16,14.98,3253.8,4 horas 18 minutos
1,2023-01-17,8.57,3517.61,1 horas 56 minutos
1,2023-01-18,7.96,3697.5,4 horas 2 minutos
1,2023-01-19,12.83,2859.78,3 horas 52 minutos
1,2023-01-20,10.76,2392.11,4 horas 59 minutos
1,2023-01-21,14.22,3730.04,1 horas 55 minutos
1,2023-01-22,7.39,3557.86,4 horas 20 minutos
1,2023-01-23,6.55,3880.52,2 horas 11 minutos
1,2023-01-24,8.77,2290.88,2 horas 9 minutos
1,2023-01-25,5.88,2372.56,2 horas 42 minutos
1,2023-01-26,7.4,3409.44,3 horas 0 minutos
1,2023-01-27,9.51,3760.87,4 horas 35 minutos
1,2023-01-28,13.22,2745.88,2 horas 8 minutos
1,2023-01-29,5.18,3827.27,2 horas 32 minutos
1,2023-01-30,8.32,2170.0,3 horas 5 minutos
1,2023-01-31,11.81,3394.23,1 horas 19 minutos
1,2023-02-01,12.17,3840.84,3 horas 0 minutos
1,2023-02-02,11.53,3075.56,2 horas 22 minutos
1,2023-02-03,14.0,2193.65,4 horas 44 minutos
1,2023-02-04,10.52,3966.25,3 horas 26 minutos
1,2023-02-05,5.47,2758.94,3 horas 58 minutos
1,2023-02-06,6.81,2285.86,4 horas 41 minutos
1,2023-02-07,13.41,2460.28,3 horas 7 minutos
1,2023-02-08,11.35,2546.39,3 horas 21 minutos
1,2023-02-09,13.98,2845.55,2 horas 35 minutos
1,2023-02-10,8.94,2118.48,2 horas 54 minutos
1,2023-02-11,6.84,2213.99,4 horas 37 minutos
1,2023-02-12,10.25,3602.7,4 horas 27 minutos
1,2023-02-13,12.85,2767.05,2 horas 13 minutos
1,2023-02-14,9.54,2771.45,3 horas 6 minutos
1,2023-02-15,14.11,2546.4,2 horas 17 minutos
1,2023-02-16,13.56,2512.99,4 horas 23 minutos
1,2023-02-17,7.47,2091.96,4 horas 52 minutos
1,2023-02-18,8.12,2878.65,1 horas 2 minutos
1,2023-02-19,12.71,2162.37,1 horas 59 minutos
1,2023-02-20,8.15,3396.02,3 horas 31 minutos
1,2023-02-21,7.17,3724.65,1 horas 25 minutos
1,2023-02-22,7.83,2570.25,4 horas 26 minutos
1,2023-02-23,12.85,3897.62,2 horas 35 minutos
1,2023-02-24,12.37,3092.2,3 horas 31 minutos
1,2023-02-25,5.36,3896.5,2 horas 44 minutos
1,2023-02-26,13.97,3134.6,2 horas 25 minutos
1,2023-02-27,9.29,3236.2,1 horas 12 minutos
1,2023-02-28,5.94,3238.68,3 horas 58 minutos
1,2023-03-01,8.26,3782.87,2 horas 15 minutos
1,2023-03-02,11.21,3236.21,1 horas 25 minutos
1,2023-03-03,14.18,3084.98,4 horas 32 minutos
1,2023-03-04,12.49,3127.82,4 horas 40 minutos
1,2023-03-05,14.22,3352.12,4 horas 43 minutos
1,2023-03-06,11.29,2818.46,4 horas 36 minutos
1,2023-03-07,9.76,3138.53,1 horas 30 minutos
1,2023-03-08,11.33,3740.82,1 horas 51 minutos
1,2023-03-09,7.33,3455.77,3 horas 25 minutos
1,2023-03-10,9.73,3265.59,3 horas 40 minutos
1,2023-03-11,5.87,3448.29,4 horas 23 minutos
1,2023-03-12,7.27,2973.66,4 horas 26 minutos
1,2023-03-13,11.13,3735.3,1 horas 50 minutos
1,2023-03-14,12.4,3551.15,2 horas 16 minutos
1,2023-03-15,7.25,3255.79,3 horas 29 minutos
1,2023-03-16,12.59,2814.6,3 horas 37 minutos
1,2023-03-17,7.88,2360.44,3 horas 49 minutos
1,2023-03-18,10.21,2547.91,4 horas 2 minutos
1,2023-03-19,8.64,2383.31,4 horas 39 minutos
1,2023-03-20,5.3,2597.25,2 horas 47 minutos
1,2023-03-21,14.39,2062.61,4 horas 23 minutos
1,2023-03-22,12.85,3695.33,4 horas 33 minutos
1,2023-03-23,9.66,2889.32,1 horas 49 minutos
1,2023-03-24,7.6,2202.7,1 horas 30 minutos
1,2023-03-25,10.87,2615.0,4 horas 58 minutos
1,2023-03-26,12.03,2059.24,1 horas 23 minutos
1,2023-03-27,12.56,3491.59,2 horas 31 minutos
1,2023-03-28,5.02,3051.81,3 horas 39 minutos
1,2023-03-29,5.45,2155.21,2 horas 54 minutos
1,2023-03-30,9.91,2006.56,4 horas 27 minutos
1,2023-03-31,8.39,2239.83,2 horas 8 minutos
1,2023-04-01,9.71,2280.96,4 horas 12 minutos
1,2023-04-02,5.01,3287.52,1 horas 13 minutos
1,2023-04-03,8.12,3758.35,4 horas 11 minutos
1,2023-04-04,7.45,2831.96,1 horas 36 minutos
1,2023-04-05,8.55,2316.8,3 horas 45 minutos
1,2023-04-06,12.79,2134.43,4 horas 40 minutos
1,2023-04-07,12.41,2313.57,3 horas 11 minutos
1,2023-04-08,11.86,2188.85,3 horas 57 minutos
1,2023-04-09,9.64,3969.41,3 horas 2 minutos
1,2023-04-10,14.24,3769.16,1 horas 31 minutos
1,2023-04-11,5.67,2381.97,2 horas 26 minutos
1,2023-04-12,6.86,3147.25,1 horas 16 minutos
1,2023-04-13,13.85,2475.02,3 horas 58 minutos
1,2023-04-14,14.39,2561.1,2 horas 50 minutos
1,2023-04-15,10.93,2739.8,1 horas 33 minutos
1,2023-04-16,13.46,2544.32,4 horas 54 minutos
1,2023-04-17,8.69,3056.69,2 horas 52 minutos
1,2023-04-18,9.7,3491.54,1 horas 48 minutos
1,2023-04-19,5.44,2556.77,4 horas 35 minutos
1,2023-04-20,12.44,2622.68,3 horas 7 minutos
1,2023-04-21,9.89,2698.87,2 horas 35 minutos
1,2023-04-22,13.3,2229.26,3 horas 44 minutos
1,2023-04-23,11.33,3701.99,4 horas 25 minutos
1,2023-04-24,11.25,2690.55,2 horas 21 minutos
1,2023-04-25,6.07,2978.97,4 horas 32 minutos
1,2023-04-26,5.93,2846.77,2 horas 51 minutos
1,2023-04-27,7.23,2390.6,1 horas 50 minutos
1,2023-04-28,8.64,2557.59,3 horas 40 minutos
1,2023-04-29,13.03,2785.04,3 horas 55 minutos
1,2023-04-30,6.28,3636.94,4 horas 37 minutos
1,2023-05-01,10.95,2228.97,3 horas 39 minutos
1,2023-05-02,14.14,3766.79,2 horas 11 minutos
1,2023-05-03,13.28,2440.51,1 horas 40 minutos
1,2023-05-04,6.85,2112.23,3 horas 56 minutos
1,2023-05-05,7.46,3355.73,1 horas 41 minutos
1,2023-05-06,12.4,2332.48,2 horas 13 minutos
1,2023-05-07,7.76,2988.66,4 horas 21 minutos
